年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp,獲票數_Count_of_votes,得票率_Percentage_of_votes_obtained(%),票選或自動當選_Elected_or_uncontested,該選區登記選民數_Count_of_registered_voter,該選區居民數_Count_of_resident
2011,中西區,A15,水街,黃堅成,民主黨,泛,1353,43.43,Elected,7672,16919
1999,九龍城,G01,馬頭圍,莫嘉嫻,民協,泛,1687,59.89,Elected,8544,16902
1999,九龍城,G02,馬坑涌,尹才榜,民建聯,建,1175,70.66,Elected,6243,19080
1999,九龍城,G03,馬頭角,李蓮,,其他,1418,66.79,Elected,6521,16884
1999,九龍城,G04,樂民,鄧寶匡,港進聯,建,,,Uncontested,9067,16673
1999,九龍城,G05,常樂,王紹爾,港進聯,建,1799,57.68,Elected,8067,20343
1999,九龍城,G06,何文田,伍精民,,其他,,,Uncontested,7914,20457
1999,九龍城,G07,嘉道理,陳景煌,,建,956,49.15,Elected,7950,19142
1999,九龍城,G08,太子,黃以謙,自由黨,建,984,66,Elected,6109,17957
1999,九龍城,G09,九龍塘,何顯明,自由黨,建,993,64.94,Elected,6274,20411
1999,九龍城,G10,龍城,李卓藩,自由黨,建,760,46.37,Elected,7099,19488
1999,九龍城,G11,啟德,朱初昇,港進聯,建,992,56.88,Elected,6758,19035
1999,九龍城,G12,海心,麥勁麟,港進聯,建,1214,55.03,Elected,7512,16980
1999,九龍城,G13,土瓜灣北,李慧琼,,其他,965,69.73,Elected,5149,14334
1999,九龍城,G14,土瓜灣南,文德全,民主黨,泛,592,43.72,Elected,4693,15606
1999,九龍城,G15,鶴園,蕭婉嫦,港進聯,建,,,Uncontested,4696,15190
1999,九龍城,G16,黃埔東,陳家偉,民主黨,泛,1063,46.77,Elected,6651,17517
1999,九龍城,G17,黃埔西,劉偉榮,,建,1149,57.85,Elected,5999,14628
1999,九龍城,G18,紅磡灣,馮競文,民主黨,泛,1244,53.62,Elected,7098,16937
1999,九龍城,G19,紅磡,葉志堅,民建聯,建,969,65.65,Elected,5384,18283
1999,九龍城,G20,家維,劉定幫,民主黨,泛,1501,51.63,Elected,7602,16843
1999,九龍城,G21,愛谷,劉達初,民建聯,建,1515,51.48,Elected,10322,16640
1999,九龍城,G22,愛俊,蔣世昌,自由黨,建,1952,59.12,Elected,9511,17278
2003,九龍城,G01,馬頭圍,莫嘉嫻,民協,泛,2573,70.76,Elected,8208,17177
2003,九龍城,G02,馬坑涌,尹才榜,民建聯,建,1265,55.14,Elected,6285,17259
2003,九龍城,G03,馬頭角,李蓮,－,建,1326,51.02,Elected,5983,14967
2003,九龍城,G04,樂民,區嘉誠,民主黨,泛,1406,46.34,Elected,7540,13346
2003,九龍城,G05,常樂,蔡麗玲,職工盟,泛,2524,53.86,Elected,9338,18259
2003,九龍城,G06,何文田,伍精民,－,泛,2013,70.43,Elected,8038,20814
2003,九龍城,G07,嘉道理,陳景煌,－,建,1552,64.75,Elected,7675,19450
2003,九龍城,G08,太子,黃以謙,自由黨,建,1429,70.99,Elected,5790,16527
2003,九龍城,G09,九龍塘,何顯明,自由黨,建,1397,70.1,Elected,5821,19149
2003,九龍城,G10,龍城,李健勤,民協,泛,1062,38.6,Elected,6477,14956
2003,九龍城,G11,啟德,廖成利,民協,泛,1454,63.86,Elected,5990,16511
2003,九龍城,G12,海心,林健文,民主黨,泛,1765,50.91,Elected,6652,15934
2003,九龍城,G13,土瓜灣北,李慧琼,－,建,1392,71.94,Elected,4999,13186
2003,九龍城,G14,土瓜灣南,文德全,民主黨,泛,1269,59.75,Elected,5088,15109
2003,九龍城,G15,鶴園海逸,蕭婉嫦,港進聯,建,1245,52.18,Elected,4786,18562
2003,九龍城,G16,黃埔東,陳家偉,民主黨,泛,1847,59.99,Elected,6683,17893
2003,九龍城,G17,黃埔西,劉偉榮,－,建,1642,63.13,Elected,5664,17040
2003,九龍城,G18,紅磡灣,馮競文,民主黨,泛,1513,46.09,Elected,7439,19990
2003,九龍城,G19,紅磡,葉志堅,民建聯,建,689,35.96,Elected,4640,14440
2003,九龍城,G20,家維,劉定邦,民主黨,泛,2112,53.33,Elected,7973,16450
2003,九龍城,G21,愛民,陳麗君,民主黨,泛,2110,54.37,Elected,8165,16033
2003,九龍城,G22,愛俊,蔣世昌,自由黨,建,1895,49.3,Elected,8979,16078
2007,九龍城,G01,馬頭圍,莫嘉嫻,民協,泛,1943,52.53,Elected,9318,17899
2007,九龍城,G02,馬坑涌,尹才榜,民建聯／工聯會,建,1512,54.39,Elected,7138,20154
2007,九龍城,G03,馬頭角,李蓮,－,建,1911,71.95,Elected,6598,15082
2007,九龍城,G04,樂民,楊永杰,－,建,2135,55.1,Elected,7991,13970
2007,九龍城,G05,常樂,陸勁光,民建聯,建,2666,53.66,Elected,9853,17422
2007,九龍城,G06,何文田,伍精民,公民黨,泛,1680,59.26,Elected,8754,20025
2007,九龍城,G07,嘉道理,陳景煌,－,建,1174,53.88,Elected,8086,18778
2007,九龍城,G08,太子,黃以謙,自由黨,建,1449,86.66,Elected,6441,16034
2007,九龍城,G09,九龍塘,何顯明,自由黨,建,1339,59.51,Elected,6785,21220
2007,九龍城,G10,龍城,吳寶強,民建聯／工聯會,建,2050,64.04,Elected,7062,15968
2007,九龍城,G11,啓德,廖成利,民協,泛,863,42.53,Elected,6395,21104
2007,九龍城,G12,海心,潘國華,民建聯／工聯會,建,1989,53.3,Elected,7695,15350
2007,九龍城,G13,土瓜灣北,李慧琼,民建聯／工聯會,建,1472,81.1,Elected,5388,13521
2007,九龍城,G14,土瓜灣南,潘志文,民主黨,泛,980,53.7,Elected,5587,14824
2007,九龍城,G15,鶴園海逸,蕭婉嫦,民建聯,建,1738,60.9,Elected,6348,17915
2007,九龍城,G16,黃埔東,梁美芬,－,建,1726,57.69,Elected,6627,14625
2007,九龍城,G17,黃埔西,劉偉榮,－,建,1716,64.39,Elected,7537,15215
2007,九龍城,G18,紅磡灣,張仁康,－,建,1537,59.07,Elected,8283,20842
2007,九龍城,G19,紅磡,任國棟,民協,泛,1237,56.41,Elected,5195,14062
2007,九龍城,G20,家維,勞超傑,－,建,2086,61.01,Elected,8155,14835
2007,九龍城,G21,愛民,陳麗君,民主黨,泛,2320,53.3,Elected,8865,14891
2007,九龍城,G22,愛俊,左滙雄,－,建,2277,46.32,Elected,9363,15025
2011,九龍城,G01,馬頭圍,莫嘉嫻,香港民主民生協進會,泛,2585,58.43,Elected,9473,16970
2011,九龍城,G02,馬坑涌,黃潤昌,民主建港協進聯盟/香港工會聯合會,建,1416,51.47,Elected,7147,19816
2011,九龍城,G03,馬頭角,李蓮,,建,1985,77.84,Elected,6656,14311
2011,九龍城,G04,樂民,楊永杰,,建,,,Uncontested,8293,14851
2011,九龍城,G05,常樂,陸勁光,民主建港協進聯盟,建,2820,66.34,Elected,10290,16841
