,ID,Year,District_code,District_name_chi,Constituency_code,Constituency_name,Candidate_name,Candidate_alias,Gender,Age,Occupation,Win_or_not,Uncontested_or_not,Political affiliation,Camp,Votes,Percentage_of_votes_obtained,得票率 估算
1999阮品強,1999A01阮品強,1999,A,中西區,A01,中環,阮品強,,男,56,中學教師,Y, ,民主黨,泛,1179,67.95,
1999李萬權,1999A01李萬權,1999,A,中西區,A01,中環,李萬權,,男,38,電訊工程經理,,,民建聯,建,546,31.47,
1999郭家麒,1999A02郭家麒,1999,A,中西區,A02,半山東,郭家麒,,男,38,醫生,Y, ,,泛,1074,55.48,
1999王敏賢,1999A02王敏賢,1999,A,中西區,A02,半山東,王敏賢,曹王敏賢,女,54,大學高級講師,,,港進聯,建,851,43.96,
1999鄭麗琼,1999A03鄭麗琼,1999,A,中西區,A03,衛城,鄭麗琼,,女,40,社區工作主任,Y,,民主黨,泛,1014,70.96,
1999蘇麗仙,1999A03蘇麗仙,1999,A,中西區,A03,衛城,蘇麗仙,,女,36,保險營業經理,,,民建聯,建,402,28.13,
1999梁永安,1999A04梁永安,1999,A,中西區,A04,山頂,梁永安,,男,39,執業會計師,,,,建,412,34.56,
1999田北俊,1999A04田北俊,1999,A,中西區,A04,山頂,田北俊,,男,52,公司主席,Y,,自由黨,建,774,64.93,
1999陳捷貴,1999A05陳捷貴,1999,A,中西區,A05,大學,陳捷貴,,男,50,大學宿舍經理,Y,Uncontested,,建,,,
1999陳國樑,1999A06陳國樑,1999,A,中西區,A06,堅摩,陳國樑,,男,33,市政局議員,,,民主黨,泛,1079,46.77,
1999楊位款,1999A06楊位款,1999,A,中西區,A06,堅摩,楊位款,,男,43,銀行副經理,Y,,民建聯,建,1217,52.75,
1999莫佩嫺,1999A07莫佩嫺,1999,A,中西區,A07,觀龍,莫佩嫺,,女,26,社區工作主任,,,,泛,1141,42.03,
1999葉國謙,1999A07葉國謙,1999,A,中西區,A07,觀龍,葉國謙,,男,48,校長助理,Y,,民建聯,建,1552,57.16,
1999陳特楚,1999A08陳特楚,1999,A,中西區,A08,西環,陳特楚,,男,54,行政董事,Y,Uncontested,自由黨,建,,,
1999林其盛,1999A09林其盛,1999,A,中西區,A09,寶翠,林其盛,,男,29,專業保險顧問,,,民主黨,泛,1157,47.55,
1999黃哲民,1999A09黃哲民,1999,A,中西區,A09,寶翠,黃哲民,,男,41,銀行副經理,Y,,民建聯,建,1262,51.87,
1999陳財喜,1999A10陳財喜,1999,A,中西區,A10,石塘咀,陳財喜,,男,43,董事,Y,,,其他,1309,48.23,
1999黃澤禮,1999A10黃澤禮,1999,A,中西區,A10,石塘咀,黃澤禮,,男,26,會計秘書,,,民主黨,泛,762,28.08,
1999李躍進,1999A10李躍進,1999,A,中西區,A10,石塘咀,李躍進,,男,41,公司東主,,,民建聯,建,632,23.29,
1999黎國雄,1999A11黎國雄,1999,A,中西區,A11,西營盤,黎國雄,,男,41,教育行政人員,Y,,,其他,1248,49.76,
1999陳耀強,1999A11陳耀強,1999,A,中西區,A11,西營盤,陳耀強,,男,48,行政人員,,,民建聯,建,1243,49.56,
1999甘乃威,1999A12甘乃威,1999,A,中西區,A12,上環,甘乃威,,男,39,社區工作主任,Y,,民主黨,泛,1468,67.77,
1999袁照興,1999A12袁照興,1999,A,中西區,A12,上環,袁照興,,男,46,行政人員,,,民建聯,建,688,31.76,
1999何俊麒,1999A13何俊麒,1999,A,中西區,A13,東華,何俊麒,,男,42,見習律師,Y,,民主黨,泛,898,64.37,
1999鄭志強,1999A13鄭志強,1999,A,中西區,A13,東華,鄭志強,,男,31,議員助理,,,民建聯,建,487,34.91,
1999梁耀祖,1999A14梁耀祖,1999,A,中西區,A14,正街,梁耀祖,,男,26,見習律師,Y,,民主黨,泛,1063,58.12,
1999唐偉源,1999A14唐偉源,1999,A,中西區,A14,正街,唐偉源,,男,36,行政人員,,,民建聯,建,739,40.4,
1999戴卓賢,1999A15戴卓賢,1999,A,中西區,A15,水街,戴卓賢,,男,38,文化出版,Y,,一二三,泛,1096,51.75,
1999溫祖堯,1999A15溫祖堯,1999,A,中西區,A15,水街,溫祖堯,,男,40,印刷商人,,,民主黨,泛,983,46.41,
1999黃漢清,1999B01黃漢清,1999,B,灣仔,B01,軒尼詩,黃漢清,,男,46,成本工程師,Y,Uncontested,華革會,建,,,
1999鄭琴淵,1999B02鄭琴淵,1999,B,灣仔,B02,愛群,鄭琴淵,,女,53,全職議員,Y,Uncontested,民建聯,建,,,
1999孫啟昌 ,1999B03孫啟昌 ,1999,B,灣仔,B03,鵝頸,孫啟昌 ,,男,45,社團活動中心總幹事,Y,Uncontested,民建聯,建,,,
1999謝永齡,1999B04謝永齡,1999,B,灣仔,B04,銅鑼灣,謝永齡,,男,45,大學副教授,Y,,民主黨,泛,783,45.63,
1999李均頤,1999B04李均頤,1999,B,灣仔,B04,銅鑼灣,李均頤,,女,30,公司常務董事,,,民建聯,建,630,36.71,
1999李兆富,1999B04李兆富,1999,B,灣仔,B04,銅鑼灣,李兆富,,男,23,議員助理,,,自由黨,建,289,16.84,
1999李慶偉,1999B05李慶偉,1999,B,灣仔,B05,大坑,李慶偉,,男,40,社會工作者,Y,,民主黨,泛,877,51.8,
1999阮鎮泉,1999B05阮鎮泉,1999,B,灣仔,B05,大坑,阮鎮泉,,男,49,酒店經理,,,民建聯,建,801,47.31,
1999曹聖玉,1999B06曹聖玉,1999,B,灣仔,B06,渣甸山,曹聖玉,龐曹聖玉,女,50,護理總經理,Y,Uncontested,,建,,,
1999龐可榮,1999B07龐可榮,1999,B,灣仔,B07,樂活,龐可榮,,男,52,牙科醫生,,,,其他,398,30.45,
1999黃英琦,1999B07黃英琦,1999,B,灣仔,B07,樂活,黃英琦,,女,40,律師,Y,,自由黨,建,883,67.56,
1999吳錦津,1999B08吳錦津,1999,B,灣仔,B08,跑馬地,吳錦津,,男,48,公司董事,Y,,,建,1398,82.58,
1999鄧平,1999B08鄧平,1999,B,灣仔,B08,跑馬地,鄧平,,男,48,市務經理,,,民主黨,泛,285,16.83,
1999馮國輝,1999B09馮國輝,1999,B,灣仔,B09,司徒拔道,馮國輝,馮兩努,男,46,專欄作家,Y,,,建,766,43.25,
1999李建賢,1999B09李建賢,1999,B,灣仔,B09,司徒拔道,李建賢,,男,46,社會工作,,,民主黨,泛,318,17.96,
1999周梁淑怡,1999B09周梁淑怡,1999,B,灣仔,B09,司徒拔道,周梁淑怡,,女,54,立法會議員,,,自由黨,建,683,38.57,
1999林貝聿嘉,1999B10林貝聿嘉,1999,B,灣仔,B10,修頓,林貝聿嘉,,女,71,全職議員,Y,Uncontested,,建,,,
1999蘇繼權,1999B11蘇繼權,1999,B,灣仔,B11,大佛口,蘇繼權,,男,48,會計顧問,,,民主黨,泛,540,29.52,
1999盧天送,1999B11盧天送,1999,B,灣仔,B11,大佛口,盧天送,,男,54,銀行副經理,Y,,民建聯,建,1275,69.71,
1999羅友聖,1999C01羅友聖,1999,C,東區,C01,太古城西,羅友聖,,男,63,房屋管理顧問,Y,Uncontested,,其他,,,
1999曹漢光,1999C02曹漢光,1999,C,東區,C02,太古城東,曹漢光,,男,52,全職區議員,Y,,民主黨,泛,1988,73.12,
1999陳航,1999C02陳航,1999,C,東區,C02,太古城東,陳航,,男,37,行政經理,,,民建聯,建,711,26.15,
1999蔣業暉,1999C03蔣業暉,1999,C,東區,C03,鯉景灣,蔣業暉,,男,55,電業承辦商,,,,其他,878,38.9,
1999傅元章,1999C03傅元章,1999,C,東區,C03,鯉景灣,傅元章,,男,50,人壽保險／僱員 福利顧問,Y,,,其他,1356,60.08,
1999勞鍱珍,1999C04勞鍱珍,1999,C,東區,C04,筲箕灣,勞鍱珍,,女,51,全職議員,Y,Uncontested,民建聯,建,,,
1999陳達文,1999C05陳達文,1999,C,東區,C05,阿公岩,陳達文,,男,43,董事經理,,,,其他,360,12.08,
1999杜本文,1999C05杜本文,1999,C,東區,C05,阿公岩,杜本文,,男,50,設計師／行政經理,Y,,,其他,1703,57.17,
1999張葵歡,1999C05張葵歡,1999,C,東區,C05,阿公岩,張葵歡,,女,42,幼稚園教師,,,民建聯,建,901,30.25,
1999謝智勇,1999C06謝智勇,1999,C,東區,C06,杏花邨,謝智勇,,男,40,業務副經理,,,民建聯,建,1433,40.49,
1999陳添勝,1999C06陳添勝,1999,C,東區,C06,杏花邨,陳添勝,,男,40,公司董事,Y,,民權黨,泛,2072,58.55,
1999古桂耀,1999C07古桂耀,1999,C,東區,C07,翠灣,古桂耀,,男,37,技術員,,,民主黨,泛,1330,39.07,
1999鄧禮明,1999C07鄧禮明,1999,C,東區,C07,翠灣,鄧禮明,,男,41,公司董事／輔導工作者,Y,,民建聯,建,2054,60.34,
1999梁雪冰,1999C08梁雪冰,1999,C,東區,C08,欣怡,梁雪冰,梁安琪,女,40,藝術工作者,Y,,民主黨,泛,1481,59.86,
1999關光,1999C08關光,1999,C,東區,C08,欣怡,關光,,男,40,行政經理,,,民建聯,建,968,39.13,
1999李惠照,1999C09李惠照,1999,C,東區,C09,小西灣,李惠照,,男,46,物業管理行政人員,,,民主黨,泛,910,33.13,
1999陳靄群,1999C09陳靄群,1999,C,東區,C09,小西灣,陳靄群,,女,49,社團行政人員,Y,,民建聯,建,1824,66.4,
1999陳耀德,1999C10陳耀德,1999,C,東區,C10,富景,陳耀德,,男,49,教師,Y,,民主黨,泛,1727,53.19,
1999林偉光,1999C10林偉光,1999,C,東區,C10,富景,林偉光,,男,56,議員助理,,,民建聯,建,1507,46.41,
1999楊健德,1999C11楊健德,1999,C,東區,C11,環翠,楊健德,,男,37,印刷業報價員,,,民主黨,泛,864,23.56,
1999龔栢祥,1999C11龔栢祥,1999,C,東區,C11,環翠,龔栢祥,,男,49,旅行社總監,Y,,民建聯,建,2782,75.85,
1999黎志強,1999C12黎志強,1999,C,東區,C12,翡翠,黎志強,,男,51,全職議員,Y,,民主黨,泛,1636,52.77,
1999馬德成,1999C12馬德成,1999,C,東區,C12,翡翠,馬德成,,男,40,地產公司經理,,,民建聯,建,1446,46.65,
1999甄永樂,1999C13甄永樂,1999,C,東區,C13,柏架山,甄永樂,,男,36,環境顧問,,,民主黨,泛,488,22.35,
1999黃建彬,1999C13黃建彬,1999,C,東區,C13,柏架山,黃建彬,,男,45,公司執行董事,Y,,民建聯,建,1065,48.79,
1999阮其江,1999C13阮其江,1999,C,東區,C13,柏架山,阮其江,,男,64,全職區議員,,,港進聯,建,622,28.49,
1999陳炳煥,1999C14陳炳煥,1999,C,東區,C14,寶馬山,陳炳煥,,男,54,律師／公證人,Y,Uncontested,,其他,,,
1999葉就生,1999C15葉就生,1999,C,東區,C15,天后,葉就生,,男,58,文員,Y,,,其他,1807,68.34,
1999劉玉芳,1999C15劉玉芳,1999,C,東區,C15,天后,劉玉芳,,女,34,商人,,,,其他,819,30.98,
1999羅榮焜,1999C16羅榮焜,1999,C,東區,C16,炮台山,羅榮焜,,男,51,報幕員／培訓導師,Y,,,其他,897,44.92,
1999黃桂林,1999C16黃桂林,1999,C,東區,C16,炮台山,黃桂林,,男,42,專業培訓導師,,,,其他,745,37.31,
1999成偉邦,1999C16成偉邦,1999,C,東區,C16,炮台山,成偉邦,,男,48,公司董事長,,,中自民,泛,337,16.88,
1999周潔冰,1999C17周潔冰,1999,C,東區,C17,維園,周潔冰,,女,44,全職議員,Y,,,建,1383,69.05,
1999關國傑,1999C17關國傑,1999,C,東區,C17,維園,關國傑,,男,40,業務經理,,,,建,604,30.15,
1999朱奉慈,1999C18朱奉慈,1999,C,東區,C18,城市花園,朱奉慈,,男,41,大律師,,,,其他,461,19.5,
1999許清安,1999C18許清安,1999,C,東區,C18,城市花園,許清安,,男,33,執業會計師,Y,,,其他,995,42.09,
1999蕭健恒,1999C18蕭健恒,1999,C,東區,C18,城市花園,蕭健恒,,男,26,業務拓展經理,,,民主黨,泛,896,37.9,
1999王國興,1999C19王國興,1999,C,東區,C19,和富,王國興,,男,50,行政人員／作家,Y,Uncontested,民建聯,建,,,
1999朱漢華,1999C20朱漢華,1999,C,東區,C20,堡壘,朱漢華,,男,49,全職區議員,Y,Uncontested,民建聯,建,,,
1999石貴春,1999C21石貴春,1999,C,東區,C21,北角邨,石貴春,,男,48,工程顧問,,,,建,591,25.81,
1999顏尊廉,1999C21顏尊廉,1999,C,東區,C21,北角邨,顏尊廉,,男,51,旅行社總監,Y,,民建聯,建,1677,73.23,
1999蔡素玉,1999C22蔡素玉,1999,C,東區,C22,錦屏,蔡素玉,,女,49,商人,Y,Uncontested,港進聯,建,,,
1999鄭志成,1999C23鄭志成,1999,C,東區,C23,丹拿,鄭志成,,男,40,公司董事,,,,其他,800,31.26,
1999蔡明基,1999C23蔡明基,1999,C,東區,C23,丹拿,蔡明基,,男,25,保險經理,,,,建,561,21.92,
1999李汝大,1999C23李汝大,1999,C,東區,C23,丹拿,李汝大,,男,54,理大院務主任,Y,,前綫,泛,1173,45.84,
1999陳莉蓮,1999C24陳莉蓮,1999,C,東區,C24,健康村,陳莉蓮,,女,35,公司會計文員,,,,其他,684,32.59,
1999陳得偉,1999C24陳得偉,1999,C,東區,C24,健康村,陳得偉,,男,40,公司董事,Y,,民主會,泛,1392,66.32,
1999江子榮,1999C25江子榮,1999,C,東區,C25,鰂魚涌,江子榮,,男,47,執業會計師,Y,Uncontested,自由黨,建,,,
1999關樂平,1999C26關樂平,1999,C,東區,C26,南豐,關樂平,,男,47,測量師行董事,,,,其他,671,21.23,
1999梁淑楨,1999C26梁淑楨,1999,C,東區,C26,南豐,梁淑楨,,女,47,社區發展主任,Y,,民主黨,泛,1404,44.42,
1999施天賜,1999C26施天賜,1999,C,東區,C26,南豐,施天賜,,男,37,銀行高級主任,,,民建聯,建,1075,34.01,
1999趙志雄,1999C27趙志雄,1999,C,東區,C27,康怡,趙志雄,,男,54,商人,,,,其他,235,10.71,
1999麥順邦,1999C27麥順邦,1999,C,東區,C27,康怡,麥順邦,,男,46,公司董事,Y,,,其他,1940,88.38,
1999梁兆新,1999C28梁兆新,1999,C,東區,C28,康山,梁兆新,,男,47,市場研究總監,Y,,,其他,1479,68.5,
1999黃宏泰,1999C28黃宏泰,1999,C,東區,C28,康山,黃宏泰,,男,35,執業會計師,,,港進聯,建,653,30.25,
1999王國有,1999C29王國有,1999,C,東區,C29,興東,王國有,,男,38,資訊系統顧問,,,,其他,733,20.43,
1999黃月梅,1999C29黃月梅,1999,C,東區,C29,興東,黃月梅,,女,40,社區幹事,Y,,民主黨,泛,1521,42.39,
1999黎永華,1999C29黎永華,1999,C,東區,C29,興東,黎永華,,男,21,助理地區統籌主任,,,民建聯,建,1323,36.87,
1999江澤濠,1999C30江澤濠,1999,C,東區,C30,西灣河,江澤濠,,男,50,經理,Y,Uncontested,,其他,,,
1999何偉明,1999C31何偉明,1999,C,東區,C31,下耀東,何偉明,,男,30,中醫藥從業員,,,民主黨,泛,807,38.37,
1999許嘉灝,1999C31許嘉灝,1999,C,東區,C31,下耀東,許嘉灝,,男,52,幼稚園校董,Y,,民建聯,建,1281,60.91,
1999呂志文,1999C32呂志文,1999,C,東區,C32,上耀東,呂志文,,男,48,保養工程監督,,,民主黨,泛,997,42.19,
1999趙資強,1999C32趙資強,1999,C,東區,C32,上耀東,趙資強,,男,51,工會工作者,Y,,民建聯,建,1355,57.34,
1999凌育群,1999C33凌育群,1999,C,東區,C33,興民,凌育群,,男,61,退休教師,,,民主黨,泛,1046,38.5,
1999趙承基,1999C33趙承基,1999,C,東區,C33,興民,趙承基,,男,59,銀行經理,Y,,民建聯,建,1652,60.8,
1999曾健成,1999C34曾健成,1999,C,東區,C34,樂康,曾健成,,男,43,全職區議員,,,民主黨,泛,1042,44.89,
1999陳達強,1999C34陳達強,1999,C,東區,C34,樂康,陳達強,,男,42,助理工程師,Y,,民建聯,建,1271,54.76,
1999鍾少琼,1999C35鍾少琼,1999,C,東區,C35,翠德,鍾少琼,,女,49,美容顧問,,,,其他,283,13.49,
1999梁耀雄,1999C35梁耀雄,1999,C,東區,C35,翠德,梁耀雄,,男,42,中學教師,Y,,,其他,1792,85.41,
1999鄧徐中,1999C36鄧徐中,1999,C,東區,C36,漁灣,鄧徐中,,男,25,組織幹事,,,民主黨,泛,1253,34.59,
1999鍾樹根,1999C36鍾樹根,1999,C,東區,C36,漁灣,鍾樹根,,男,42,咨詢科技顧問,Y,,民建聯,建,2360,65.16,
1999楊浩然,1999C37楊浩然,1999,C,東區,C37,曉翠,楊浩然,,男,38,律師,,,民主黨,泛,806,25.69,
1999黎鴻光,1999C37黎鴻光,1999,C,東區,C37,曉翠,黎鴻光,,男,37,倉務經理,,,民建聯,建,638,20.34,
1999林翠蓮,1999C37林翠蓮,1999,C,東區,C37,曉翠,林翠蓮,,女,33,行政人員,Y,,自由黨,建,1674,53.36,
1999黃文傑,1999D01黃文傑,1999,D,南區,D01,香港仔,黃文傑,,男,58,商人,Y,Uncontested,自由黨,建,,,
1999梁柏洪,1999D02梁柏洪,1999,D,南區,D02,鴨脷洲邨,梁柏洪,,男,61,交通服務,,,,建,425,10.74,
1999林玉珍,1999D02林玉珍,1999,D,南區,D02,鴨脷洲邨,林玉珍,,女,41,藝術學院院長,Y,,,建,2306,58.26,
1999梁國華,1999D02梁國華,1999,D,南區,D02,鴨脷洲邨,梁國華,,男,40,電腦程序支援部主管,,,民主黨,泛,1204,30.42,
1999黃敬祥,1999D03黃敬祥,1999,D,南區,D03,鴨脷洲北,黃敬祥,,男,38,校監,Y,Uncontested,,其他,,,
1999朱俊賢,1999D04朱俊賢,1999,D,南區,D04,利東一,朱俊賢,,男,55,商人,Y,Uncontested,,其他,,,
1999黃志毅,1999D05黃志毅,1999,D,南區,D05,利東二,黃志毅,,男,47,全職區議員,Y,Uncontested,,其他,,,
1999林啟暉,1999D06林啟暉,1999,D,南區,D06,海怡東,林啟暉,,男,48,策劃顧問,Y,,,建,950,55.46,
1999車宛諭,1999D06車宛諭,1999,D,南區,D06,海怡東,車宛諭,,女,46,資深壽險顧問,,,民主黨,泛,745,43.49,
1999蘇悲鴻,1999D07蘇悲鴻,1999,D,南區,D07,海怡西,蘇悲鴻,,男,45,社工,Y,Uncontested,,其他,,,
1999麥謝巧玲,1999D08麥謝巧玲,1999,D,南區,D08,華貴,麥謝巧玲,謝巧玲,女,49,校長,,,,建,1483,30.92,
1999洪天理,1999D08洪天理,1999,D,南區,D08,華貴,洪天理,,男,58,中心輔導主任,Y,,,其他,2204,45.95,
1999楊小壁,1999D08楊小壁,1999,D,南區,D08,華貴,楊小壁,,女,39,公司董事,,,民主黨,泛,1087,22.66,
1999歐立成,1999D09歐立成,1999,D,南區,D09,華富一,歐立成,,男,46,醫院物資管理,,,,其他,1349,48.23,
1999黃琼芳,1999D09黃琼芳,1999,D,南區,D09,華富一,黃琼芳,,女,37,醫務行政人員,Y,,民主黨,泛,1438,51.41,
1999黃震遐,1999D10黃震遐,1999,D,南區,D10,華富二,黃震遐,,男,59,醫生,Y,,民主黨,泛,1618,61.15,
1999麥志仁,1999D10麥志仁,1999,D,南區,D10,華富二,麥志仁,,男,45,議員辦事處總幹事,,,民建聯,建,1003,37.91,
1999高譚根,1999D11高譚根,1999,D,南區,D11,薄扶林,高譚根,,男,62,退休校長,Y,Uncontested,,建,,,
1999朱慶虹,1999D12朱慶虹,1999,D,南區,D12,置富,朱慶虹,,男,37,執行董事／大學課程顧問,Y,,,建,1885,69.33,
1999鄺錦華,1999D12鄺錦華,1999,D,南區,D12,置富,鄺錦華,,男,49,電視公司經理,,,民主黨,泛,816,30.01,
1999苗華振,1999D13苗華振,1999,D,南區,D13,田灣,苗華振,,男,65,全職區議員,Y,Uncontested,民建聯,建,,,
1999石國強,1999D14石國強,1999,D,南區,D14,香漁,石國強,,男,47,公司決策人,,,,其他,994,33.98,
1999卜坤乾,1999D14卜坤乾,1999,D,南區,D14,香漁,卜坤乾,,男,39,的士司機,,,,其他,833,28.48,
1999陳思誦,1999D14陳思誦,1999,D,南區,D14,香漁,陳思誦,,男,60,商人,Y,,民建聯,建,1067,36.48,
1999陳景豪,1999D15陳景豪,1999,D,南區,D15,海灣,陳景豪,,男,32,電訊公司經理,,,民建聯,建,488,48.75,
1999楊孝華,1999D15楊孝華,1999,D,南區,D15,海灣,楊孝華,,男,51,總經理,Y,,自由黨,建,507,50.65,
1999陳若瑟,1999D16陳若瑟,1999,D,南區,D16,黃竹坑,陳若瑟,,男,63,校監,Y,Uncontested,,其他,,,
1999王錦泉,1999D17王錦泉,1999,D,南區,D17,赤柱及石澳,王錦泉,,男,36,商人,,,,建,772,33.55,
1999李佩英,1999D17李佩英,1999,D,南區,D17,赤柱及石澳,李佩英,陳李佩英,女,58,商人／經理,Y,,,建,1093,47.5,
1999謝志興,1999D17謝志興,1999,D,南區,D17,赤柱及石澳,謝志興,,男,46,經理,,,民主黨,泛,422,18.34,
1999李景華,1999E01李景華,1999,E,油尖旺,E01,尖沙咀西,李景華,,男,51,僱員福利顧問,Y,,,其他,899,56.19,
1999麥宜全,1999E01麥宜全,1999,E,油尖旺,E01,尖沙咀西,麥宜全,,男,42,律師／會計師,,,民建聯,建,675,42.19,
1999葉國忠,1999E02葉國忠,1999,E,油尖旺,E02,渡船角,葉國忠,,男,48,行政經理,Y,Uncontested,民建聯,建,,,
1999陳少棠,1999E03陳少棠,1999,E,油尖旺,E03,佐敦,陳少棠,,男,30,商人,,,民協,泛,626,35.19,
1999劉志榮,1999E03劉志榮,1999,E,油尖旺,E03,佐敦,劉志榮,,男,47,文化演藝界,Y,,民建聯,建,1142,64.19,
1999吳寶珊,1999E04吳寶珊,1999,E,油尖旺,E04,油麻地,吳寶珊,,女,41,行政秘書,Y,Uncontested,民協,泛,,,
1999陳慧,1999E05陳慧,1999,E,油尖旺,E05,富榮,陳慧,餘慧,男,56,社團總政,,,,其他,316,10.78,
1999涂謹申,1999E05涂謹申,1999,E,油尖旺,E05,富榮,涂謹申,,男,36,執業律師,Y,,民主黨,泛,1670,56.96,
1999鍾港武,1999E05鍾港武,1999,E,油尖旺,E05,富榮,鍾港武,,男,25,社區總幹事,,,民建聯,建,934,31.86,
1999秦飛鵬,1999E06秦飛鵬,1999,E,油尖旺,E06,旺角西,秦飛鵬,,男,43,全職議員,Y,,一二三,泛,724,52.92,
1999黃瑞文,1999E06黃瑞文,1999,E,油尖旺,E06,旺角西,黃瑞文,,男,50,銀行經理,,,民建聯,建,638,46.64,
1999朱韶洪,1999E07朱韶洪,1999,E,油尖旺,E07,旺角中,朱韶洪,,男,50,清潔商,,,,泛,111,11.44,
1999陳偉泉,1999E07陳偉泉,1999,E,油尖旺,E07,旺角中,陳偉泉,,男,47,行政經理,,,,其他,280,28.87,
1999黎自立,1999E07黎自立,1999,E,油尖旺,E07,旺角中,黎自立,,男,58,行政主任,Y,,民主黨,泛,571,58.87,
1999陳仲傑,1999E08陳仲傑,1999,E,油尖旺,E08,櫻桃,陳仲傑,,男,50,行政經理,Y,,,其他,1214,60.79,
1999梁雪芳,1999E08梁雪芳,1999,E,油尖旺,E08,櫻桃,梁雪芳,,女,37,工會幹事,,,民主黨,泛,772,38.66,
1999陳國明,1999E09陳國明,1999,E,油尖旺,E09,大角咀,陳國明,,男,52,小學校長,Y,,,其他,1178,53.86,
1999黃清和,1999E09黃清和,1999,E,油尖旺,E09,大角咀,黃清和,,男,62,駕駛教師,,,民主黨,泛,999,45.68,
1999梁照誠,1999E10梁照誠,1999,E,油尖旺,E10,詩歌舞,梁照誠,,男,46,行政經理,,,,建,933,47.51,
1999陳文佑,1999E10陳文佑,1999,E,油尖旺,E10,詩歌舞,陳文佑,,男,38,管理顧問,Y,,民主黨,泛,1022,52.04,
1999黃志明,1999E11黃志明,1999,E,油尖旺,E11,大南,黃志明,,男,49,教師,Y,,,其他,1067,55.03,
1999吳永輝,1999E11吳永輝,1999,E,油尖旺,E11,大南,吳永輝,,男,38,城市規劃師,,,民主黨,泛,867,44.71,
1999江威揚,1999E12江威揚,1999,E,油尖旺,E12,旺角北,江威揚,,男,47,社團秘書長,,,,建,705,44.4,
1999葉樹安,1999E12葉樹安,1999,E,油尖旺,E12,旺角北,葉樹安,,男,39,營業主任,Y,,民主黨,泛,870,54.79,
1999羅永祥,1999E13羅永祥,1999,E,油尖旺,E13,旺角東,羅永祥,,男,39,化驗師,Y,,,建,1204,66.12,
1999戴錫崑,1999E13戴錫崑,1999,E,油尖旺,E13,旺角東,戴錫崑,,男,42,律師,,,一二三,泛,601,33,
1999仇振輝,1999E14仇振輝,1999,E,油尖旺,E14,旺角南,仇振輝,,男,52,經理,Y,Uncontested,,建,,,
1999梁偉權,1999E15梁偉權,1999,E,油尖旺,E15,京士柏,梁偉權,,男,42,社會福利行政,Y,,,建,859,54.71,
1999佘慶雲,1999E15佘慶雲,1999,E,油尖旺,E15,京士柏,佘慶雲,,男,42,全職議員,,,,泛,100,6.37,
1999梁德堯,1999E15梁德堯,1999,E,油尖旺,E15,京士柏,梁德堯,,男,47,行政人員,,,,建,319,20.32,
1999鍾堅明,1999E15鍾堅明,1999,E,油尖旺,E15,京士柏,鍾堅明,,男,48,教育行政,,,自由黨,建,272,17.32,
1999加利,1999E16加利,1999,E,油尖旺,E16,尖沙咀東,加利,,男,55,公司董事長,Y,Uncontested,,其他,,,
1999嚴鎮明,1999F01嚴鎮明,1999,F,深水埗,F01,寶麗,嚴鎮明,,男,35,體育行政人員,,,民主黨,泛,467,27.81,
1999梁有方,1999F01梁有方,1999,F,深水埗,F01,寶麗,梁有方,明楷,男,50,室內設計,Y,,民協,泛,905,53.9,
1999容海,1999F01容海,1999,F,深水埗,F01,寶麗,容海,,男,44,機械設計,,,民建聯,建,287,17.09,
1999林家輝,1999F02林家輝,1999,F,深水埗,F02,長沙灣,林家輝,,男,39,室內設計顧問,Y,,,建,1093,53.74,
1999黃秀婷,1999F02黃秀婷,1999,F,深水埗,F02,長沙灣,黃秀婷,,女,30,社區工作者,,,民主黨,泛,927,45.58,
1999梁漢華,1999F03梁漢華,1999,F,深水埗,F03,南昌北,梁漢華,,男,36,政團行政主任,Y,,一二三,泛,1031,61.08,
1999游明泰,1999F03游明泰,1999,F,深水埗,F03,南昌北,游明泰,,男,37,工程師,,,民建聯,建,645,38.21,
1999李紹基,1999F04李紹基,1999,F,深水埗,F04,南昌東,李紹基,,男,28,社區工作者,,,民主黨,泛,573,30.45,
1999梁欐,1999F04梁欐,1999,F,深水埗,F04,南昌東,梁欐,,男,37,全職區議員,Y,,民協,泛,1297,68.92,
1999黃鑑權,1999F05黃鑑權,1999,F,深水埗,F05,南昌南,黃鑑權,,男,49,社團行政人員,Y,,,建,996,66.22,
1999易偉容,1999F05易偉容,1999,F,深水埗,F05,南昌南,易偉容,,男,42,飲食業,,,民主黨,泛,499,33.18,
1999黎肇聰,1999F06黎肇聰,1999,F,深水埗,F06,南昌中,黎肇聰,,男,33,社工,,,民主黨,泛,439,31.93,
1999張文韜,1999F06張文韜,1999,F,深水埗,F06,南昌中,張文韜,,男,37,執業大律師,Y,,民協,泛,637,46.33,
1999高家廣,1999F06高家廣,1999,F,深水埗,F06,南昌中,高家廣,,男,39,運輸商人,,,民建聯,建,294,21.38,
1999梁啟賢,1999F07梁啟賢,1999,F,深水埗,F07,下南昌,梁啟賢,,男,33,社工,,,民主黨,泛,404,28.59,
1999戴遠名,1999F07戴遠名,1999,F,深水埗,F07,下南昌,戴遠名,,男,37,工程主任,Y,,民協,泛,666,47.13,
1999趙錫明,1999F07趙錫明,1999,F,深水埗,F07,下南昌,趙錫明,,男,43,裝修工程,,,民建聯,建,335,23.71,
1999衛煥南,1999F08衛煥南,1999,F,深水埗,F08,南昌西,衛煥南,,男,37,全職議員,Y,,民協,泛,1750,75.27,
